# LA-Long Beach - Container Ship Calls  source=scrape:imf-portwatch  generated=2026-04-27T12:08:23.248Z
date,value
2019-01-01,175
2019-02-01,142
2019-03-01,152
2019-04-01,148
2019-05-01,169
2019-06-01,149
2019-07-01,168
2019-08-01,168
2019-09-01,160
2019-10-01,161
2019-11-01,151
2019-12-01,161
2020-01-01,173
2020-02-01,129
2020-03-01,142
2020-04-01,152
2020-05-01,139
2020-06-01,156
2020-07-01,177
2020-08-01,175
2020-09-01,191
2020-10-01,180
2020-11-01,172
2020-12-01,173
2021-01-01,207
2021-02-01,147
2021-03-01,170
2021-04-01,165
2021-05-01,175
2021-06-01,159
2021-07-01,165
2021-08-01,168
2021-09-01,184
2021-10-01,174
2021-11-01,175
2021-12-01,174
2022-01-01,174
2022-02-01,168
2022-03-01,168
2022-04-01,151
2022-05-01,165
2022-06-01,161
2022-07-01,169
2022-08-01,146
2022-09-01,138
2022-10-01,140
2022-11-01,131
2022-12-01,142
2023-01-01,143
2023-02-01,101
2023-03-01,122
2023-04-01,133
2023-05-01,146
2023-06-01,147
2023-07-01,131
2023-08-01,145
2023-09-01,141
2023-10-01,134
2023-11-01,138
2023-12-01,139
2024-01-01,150
2024-02-01,130
2024-03-01,139
2024-04-01,142
2024-05-01,148
2024-06-01,150
2024-07-01,174
2024-08-01,169
2024-09-01,172
2024-10-01,172
2024-11-01,161
2024-12-01,166
2025-01-01,163
2025-02-01,145
2025-03-01,151
2025-04-01,163
2025-05-01,150
2025-06-01,160
2025-07-01,186
2025-08-01,177
2025-09-01,165
2025-10-01,165
2025-11-01,147
2025-12-01,162
2026-01-01,159
2026-02-01,150
2026-03-01,141
